Polling Firm,Fieldwork Period,United Right,Civic Coalition,The Left,Polish Coalition,Confederation,Poland 2050,Others / Don't know
United Surveys / WP.pl,2022-11-05,32.4,26.0,9.6,6.2,4.4,13.1,8.3
"IBRiS / ""Rz""",2022-11-05,33.7,27.6,10.1,5.7,5.0,10.9,7.0
Research Partner,2022-10-31,32.6,29.0,6.6,5.4,6.5,10.3,8.0
Social Changes / wPolityce.pl,2022-10-31,35.0,28.0,8.0,5.0,10.0,9.0,2.0
Estymator/ DoRzeczy.pl,2022-10-28,36.4,28.3,9.8,7.1,5.2,11.3,0.4
PGB Opinium,2022-10-26,34.0,29.6,8.5,4.2,6.3,12.5,3.9
Social Changes / wPolityce.pl,2022-10-24,36.0,29.0,8.0,5.0,8.0,10.0,2.0
United Surveys / WP.pl,2022-10-23,32.1,24.7,7.2,6.7,3.5,14.0,11.8
"IBRiS / ""Rz""",2022-10-22,33.0,26.7,9.3,6.2,5.2,9.6,10.0
IBSP,2022-10-20,34.47,26.99,07.03,3.71,7.1,18.75,1.95
Pollster / SE.pl,2022-10-19,35.56,30.69,09.01,3.26,5.95,13.3,0.5
Social Changes / wPolityce.pl,2022-10-19,36.0,28.0,8.0,5.0,8.0,10.0,2.0
Kantar Public,2022-10-19,28.0,31.0,7.0,4.0,5.0,10.0,14.0
Research Partner,2022-10-17,30.6,26.0,6.5,6.8,7.5,10.8,9.4
Estymator / DoRzeczy.pl,2022-10-14,37.1,27.7,10.7,6.8,5.7,10.1,0.3
IBRiS / Onet,2022-10-13,32.7,27.4,8.4,5.6,5.6,11.3,9.0
CBOS,2022-10-13,30.0,18.0,6.0,2.0,5.0,9.0,24.0
Social Changes / wPolityce.pl,2022-10-10,36.0,30.0,9.0,3.0,7.0,10.0,3.0
United Surveys / WP.pl,2022-10-09,33.8,26.2,8.8,5.6,5.0,13.6,7.0
IBRiS / ZET,2022-10-05,33.9,29.1,8.7,5.9,5.2,10.7,6.5
Social Changes / wPolityce.pl,2022-10-03,37.0,30.0,7.0,4.0,8.0,9.0,2.0
Social Changes / wPolityce.pl,2022-09-26,36.0,28.0,9.0,4.0,9.0,11.0,1.0
United Surveys / WP.pl,2022-09-25,34.1,26.4,9.2,5.0,6.0,11.9,7.4
"IBRiS / ""Rz.pl""",2022-09-24,32.9,27.1,9.0,6.3,5.6,10.6,8.5
Estymator / DoRzeczy.pl,2022-09-23,35.9,26.8,11.0,6.5,6.1,12.2,0.2
Pollster / SE.pl,2022-09-22,34.8,29.3,9.22,06.05,6.31,12.63,0.39
Social Changes / wPolityce.pl,2022-09-19,37.0,30.0,6.0,5.0,8.0,10.0,1.0
CBOS,2022-09-15,30.0,21.0,6.0,2.0,4.0,10.0,21.0
IBRiS / Onet,2022-09-13,31.6,26.1,9.2,6.2,5.6,13.4,7.9
Social Changes / wPolityce.pl,2022-09-12,36.0,26.0,8.0,7.0,2.0,10.0,2.0
United Surveys / WP.pl,2022-09-11,32.9,26.2,8.6,5.2,4.2,12.9,10.0
