Polling Firm,Fieldwork date,SPD,Union,Grune,FDP,AfD,Linke,Others
INSA,23–26 Sep 2022,18,27.5,19.5,8,15,5.5,6.5
Forsa,20–26 Sep 2022,18,28,20,7,13,5,9
INSA,19–23 Sep 2022,19,28,19,8,14,5,7
Wahlkreisprognose,20–22 Sep 2022,22,26,18,8,13.5,4,8.5
Kantar,14–20 Sep 2022,19,27,20,7,14,5,8
GMS,14–20 Sep 2022,21,28,20,7,13,4,9
INSA,16–19 Sep 2022,18.5,28.5,19,7.5,14,5.5,7
Forsa,13–19 Sep 2022,19,28,19,7,13,5,9
INSA,12–16 Sep 2022,19,28,19,7,13,6,8
Infratest dimap,13–14 Sep 2022,17,28,21,7,14,5,8
Allensbach,1–14 Sep 2022,20,30,19,7,13,5.5,5.5
YouGov,9–13 Sep 2022,16,29,19,6,14,7,8
Kantar,7–13 Sep 2022,20,26,21,7,13,5,8
Forsa,6–13 Sep 2022,19,28,20,6,13,5,9
INSA,9–12 Sep 2022,18,28,20,8,13.5,5.5,7
Wahlkreisprognose,9–11 Sep 2022,20,25.5,19,7,14,5.5,9
INSA,5–9 Sep 2022,19,27,20,8,13,5,8
Forschungsgruppe Wahlen,6–8 Sep 2022,19,28,23,6,13,5,6
Kantar,31 Aug – 6 Sep 2022,20,25,21,8,12,5,9
INSA,2–5 Sep 2022,18,28,20.5,7.5,13.5,5.5,7
Forsa,30 Aug – 5 Sep 2022,18,26,24,7,11,5,9
Ipsos,2–4 Sep 2022,19,26,21,8,12,6,8
INSA,29 Aug – 2 Sep 2022,19,28,20,8,13,5,7
Infratest dimap,29–31 Aug 2022,17,27,22,8,13,5,8
Kantar,24–30 Aug 2022,21,24,22,8,12,5,8
INSA,26–29 Aug 2022,19,27.5,20.5,8,13,5.5,6.5
Forsa,23–29 Aug 2022,17,26,25,7,11,5,9
INSA,22–26 Aug 2022,20,28,21,8,12,5,6
Civey,18–25 Aug 2022,19,27,22,7,11,5,9
Kantar,17–23 Aug 2022,19,26,23,7,12,5,8
INSA,19–22 Aug 2022,18.5,28,21,7.5,13,5.5,6.5
Forsa,16–22 Aug 2022,18,26,25,7,11,4,9
INSA,15–19 Aug 2022,19,28,21,8,12,5,7
Wahlkreisprognose,16–18 Aug 2022,18,25,26,6,14,3,8
Allensbach,5–18 Aug 2022,19.5,29,21,8,12,5,5.5
Infratest dimap,16–17 Aug 2022,18,28,23,7,12,4,8
Kantar,10–16 Aug 2022,20,28,23,6,12,4,7
INSA,12–15 Aug 2022,19,28,22,8,12,5,6
Forsa,9–15 Aug 2022,18,26,25,6,11,4,10
INSA,8–12 Aug 2022,19,27,22,9,12,5,6
Wahlkreisprognose,6–12 Aug 2022,16,24,25.5,8,14.5,3.5,8.5
Forschungsgruppe Wahlen,9–11 Aug 2022,19,26,26,7,12,4,6
YouGov,5–10 Aug 2022,19,27,21,6,14,6,8
Kantar,3–9 Aug 2022,21,27,22,7,11,5,7
Ipsos,5–8 Aug 2022,19,27,22,8,11,5,8
INSA,5–8 Aug 2022,18,27,21.5,8,12.5,5.5,7.5
Forsa,2–8 Aug 2022,18,26,24,7,10,5,10
