United Right,Civic Coalition
30.0,21.0
31.6,26.1
36.0,26.0
32.9,26.2
37.0,26.1
33.0,26.0
29.0,27.0
36.0,29.0
33.2,26.9
32.0,25.0
39.0,26.0
35.2,25.6
31.6,25.9
30.9,25.8
36.0,28.1
31.0,21.0
34.45,29.69
36.0,27.0
29.0,27.0
33.7,29.09
39.0,28.0
34.7,25.8
36.8,26.8
30.0,26.0
37.0,31.0
38.0,27.0
38.2,25.8
33.2,27.1
36.6,26.4
34.9,26.5
37.0,30.0
34.2,25.9
26.0,27.0
33.8,27.33
39.0,27.0
37.1,26.6
39.0,26.0
33.9,26.6
33.0,18.0
34.17,28.1
33.7,25.2
37.0,26.0
33.1,24.7
37.0,26.0
34.4,24.5
38.0,26.9
31.0,26.0
35.28,23.88
37.0,27.0
34.2,25.5
34.5,25.4
32.8,23.0
37.0,25.0
37.01,27.8
38.5,27.1
32.1,22.3
32.0,17.0
29.0,23.0
37.1,25.5
37.0,27.0
36.5,24.9
35.1,25.3
31.3,25.5
37.0,27.0
39.5,28.4
35.28,25.09
38.0,25.0
36.9,26.8
36.2,25.2
29.0,24.0
38.0,28.0
39.2,27.1
35.0,26.0
36.0,19.0
36.0,27.0
30.8,26.3
34.7,27.0
35.9,26.3
37.8,24.9
37.0,27.0
38.4,27.0
35.41,26.48
34.7,27.0
40.0,25.0
32.5,25.5
36.0,26.6
36.0,26.0
39.0,26.4
30.0,26.0
39.0,26.0
32.7,23.3
40.68,22.61
32.0,17.0
38.0,25.0
32.9,25.1
33.7,23.7
39.2,25.4
34.2,26.2
37.0,29.0
36.0,28.0
33.6,24.2
31.0,22.0
37.0,25.0
34.6,23.2
33.4,23.1
30.0,27.0
31.4,25.8
39.6,25.1
34.0,24.0
30.0,20.0
30.0,25.0
33.6,21.2
37.99,25.89
37.4,22.8
38.0,27.0
32.6,25.7
33.0,28.0
32.2,26.9
36.4,27.5
36.05,24.46
30.0,25.0
38.0,26.0
31.1,23.7
32.5,29.3
32.7,28.0
30.0,17.0
31.0,26.0
34.63,26.34
33.1,25.1
31.1,26.7
31.3,27.3
33.0,28.0
32.0,27.0
33.2,26.1
27.0,26.0
35.0,28.0
32.3,27.2
29.0,26.0
31.7,23.9
34.0,27.0
30.1,20.2
32.81,24.5
29.4,17.8
36.0,24.0
33.0,25.1
38.0,24.0
35.9,24.2
33.0,26.0
36.0,25.0
30.8,24.1
32.1,24.9
35.3,22.4
38.0,24.0
36.38,25.81
31.0,24.0
27.0,21.0
31.2,14.5
28.0,26.0
38.0,24.0
32.1,23.7
38.0,25.0
37.1,20.6
32.0,22.1
35.3,23.8
30.2,21.8
37.53,24.3
39.0,25.0
30.2,21.2
31.0,22.1
30.6,21.7
30.0,24.0
29.0,24.0
41.0,23.0
29.3,17.9
33.8,23.8
37.0,24.0
37.6,24.6
32.6,21.6
39.0,25.0
28.4,17.2
36.58,25.8
39.0,26.0
35.0,23.3
35.8,24.5
37.1,23.3
39.0,26.0
34.6,15.3
32.0,26.0
32.0,25.0
35.4,27.1
36.2,21.0
40.0,26.0
35.4,25.9
34.3,21.6
37.0,25.0
38.0,26.0
35.2,22.4
34.1,23.4
35.6,23.0
35.0,24.0
37.0,24.0
33.5,16.0
39.5,24.54
